Age,Gender,Occupation,Q1 ,Q2 ,Q3 ,Q4,Q5 
21,Male,Student,7,2,9,Difference honoring feminism,No
23,Female,Unemployed,1,1,10,Difference-denying feminism,No
21,Female,Student,2,2,8,Difference-honoring feminism,No
19,Female,Full time student,6,7,9,Difference honoring feminism,No
20,Female,Student,3,1,10,Difference honoring feminism,No
21,Female,Weight room attendant,4,9,8,Difference honoring feminism,No
22,Male,Full time student,1,4,5,Difference removing feminism ,No
21,Male,Student,4,5,8,Difference removing feminism ,No
22,Male,Student,5,1,8,Difference honoring feminism,No
20,Female,Student,3,2,9,Difference honoring feminism,No
